"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"HBE_MOUSE",2,0,3,7,4,11,"P02104","HBE_MOUSE","Hbb-y"
"HDAC6_MOUSE",0,0,0,0,1,4,"Q9Z2V5","HDAC6_MOUSE","Hdac6"
"HEM2_MOUSE",0,0,0,8,1,10,"P10518","HEM2_MOUSE","Alad"
"HMGN5_MOUSE",0,0,0,1,0,1,"Q9JL35","HMGN5_MOUSE","Hmgn5"
"HNRPK_MOUSE",0,0,0,1,0,5,"P61979","HNRPK_MOUSE","Hnrnpk"
"HS105_MOUSE",0,0,0,3,4,17,"Q61699","HS105_MOUSE","Hsph1"
"HS71A_MOUSE",0,0,0,5,3,6,"Q61696","HS71A_MOUSE","Hspa1a"
"HS71B_MOUSE",0,0,0,5,3,6,"P17879","HS71B_MOUSE","Hspa1b"
"HS90A_MOUSE",2,1,0,36,35,36,"P07901","HS90A_MOUSE","Hsp90aa1"
"HS90B_MOUSE",2,1,0,36,37,41,"P11499","HS90B_MOUSE","Hsp90ab1"
"HSP72_MOUSE",1,1,0,0,0,0,"P17156","HSP72_MOUSE","Hspa2"
"HSP74_MOUSE",1,0,0,14,13,22,"Q61316","HSP74_MOUSE","Hspa4"
"HSP7C_MOUSE",1,1,0,30,32,33,"P63017","HSP7C_MOUSE","Hspa8"
"HYOU1_MOUSE",0,0,0,32,37,30,"Q9JKR6","HYOU1_MOUSE","Hyou1"
"IDHC_MOUSE",0,0,0,2,0,13,"O88844","IDHC_MOUSE","Idh1"
"IF2A_MOUSE",0,0,0,4,2,6,"Q6ZWX6","IF2A_MOUSE","Eif2s1"
"IF2B_MOUSE",0,0,0,4,1,5,"Q99L45","IF2B_MOUSE","Eif2s2"
"IF2B1_MOUSE",0,0,0,2,1,3,"O88477","IF2B1_MOUSE","Igf2bp1"
"IF2G_MOUSE",0,0,0,6,3,8,"Q9Z0N1","IF2G_MOUSE","Eif2s3x"
"IF2P_MOUSE",0,0,0,1,0,1,"Q05D44","IF2P_MOUSE","Eif5b"
"IF4A1_MOUSE",1,0,0,13,11,16,"P60843","IF4A1_MOUSE","Eif4a1"
"IF4A2_MOUSE",1,0,0,6,6,10,"P10630","IF4A2_MOUSE","Eif4a2"
"IF4G1_MOUSE",0,0,1,2,1,1,"Q6NZJ6","IF4G1_MOUSE","Eif4g1"
